Distance_km,Avg_Speed_kmph,Number_of_Signals,Traffic_Level,Weather,Road_Type,Vehicle_Type,Day_of_Week,Time_of_Day,Travel_Time_Minutes
7.49,33.3,4,Low,Foggy,Rural Road,Bike,Wednesday,Morning,22.3
19.35,69.2,5,Low,Foggy,Highway,Car,Thursday,Night,24.8
7.42,73.0,4,Low,Clear,Highway,Bus,Friday,Morning,13.4
25.8,17.7,16,Medium,Rainy,City Road,Bike,Saturday,Afternoon,97.0
15.07,18.3,7,Medium,Rainy,City Road,Car,Sunday,Night,65.9
11.29,41.2,6,High,Clear,Rural Road,Car,Friday,Night,26.9
8.07,17.5,10,Medium,Clear,City Road,Car,Wednesday,Morning,37.0
12.13,23.8,11,Medium,Clear,City Road,Car,Monday,Morning,37.7
6.07,49.9,1,High,Rainy,Highway,Car,Friday,Night,19.7
4.72,31.7,9,Low,Rainy,City Road,Car,Saturday,Night,15.2
15.15,35.4,11,Low,Rainy,City Road,Car,Thursday,Afternoon,32.2
11.26,48.6,7,Low,Clear,Rural Road,Car,Sunday,Morning,11.3
17.36,17.6,12,Medium,Clear,City Road,Car,Wednesday,Morning,70.4
13.47,32.7,11,Medium,Clear,City Road,Bus,Monday,Afternoon,40.4
8.0,29.3,10,Low,Clear,City Road,Bike,Friday,Evening,18.0
19.22,58.7,7,Medium,Foggy,Highway,Car,Monday,Morning,33.6
8.54,22.1,9,Low,Foggy,City Road,Bike,Monday,Evening,34.5
22.17,14.5,16,Medium,Foggy,City Road,Bike,Friday,Night,104.1
8.39,51.7,4,Medium,Foggy,Highway,Car,Thursday,Morning,22.1
5.17,47.4,1,Medium,Stormy,Highway,Car,Friday,Night,22.6
24.35,56.3,12,Low,Clear,Rural Road,Car,Saturday,Night,28.2
8.23,28.9,11,Medium,Clear,City Road,Bike,Wednesday,Afternoon,23.2
8.56,17.9,11,Medium,Clear,City Road,Car,Friday,Morning,36.4
5.3,75.8,4,Low,Clear,Highway,Car,Thursday,Afternoon,10.7
10.75,92.2,1,Low,Clear,Highway,Bike,Friday,Afternoon,6.9
5.69,15.5,7,High,Clear,City Road,Truck,Friday,Afternoon,37.2
23.58,34.8,8,High,Stormy,Highway,Car,Wednesday,Night,63.2
9.29,19.0,9,Medium,Clear,City Road,Bike,Thursday,Morning,40.2
6.76,39.4,7,Low,Stormy,Rural Road,Car,Friday,Afternoon,21.9
11.8,18.8,5,High,Rainy,Rural Road,Bike,Monday,Night,51.8
34.76,8.0,22,High,Rainy,City Road,Bike,Tuesday,Morning,282.4
12.1,28.8,6,Medium,Rainy,Rural Road,Bike,Monday,Morning,35.3
10.02,44.8,4,Medium,Clear,Rural Road,Car,Tuesday,Afternoon,21.6
11.65,29.9,11,Low,Rainy,City Road,Car,Thursday,Night,33.5
17.84,35.5,14,Low,Clear,City Road,Bus,Sunday,Night,40.2
16.96,35.0,8,High,Stormy,Highway,Car,Sunday,Night,50.8
13.25,27.7,9,Medium,Clear,City Road,Truck,Saturday,Night,36.4
19.65,29.0,14,Low,Clear,City Road,Car,Thursday,Morning,48.8
12.01,33.4,9,Low,Rainy,City Road,Car,Tuesday,Afternoon,30.0
10.49,40.1,4,Medium,Rainy,Rural Road,Car,Wednesday,Evening,23.0
11.87,38.7,10,Low,Clear,City Road,Car,Saturday,Morning,18.4
8.42,56.7,3,High,Rainy,Highway,Bus,Sunday,Night,28.4
18.04,8.0,14,High,Clear,City Road,Car,Sunday,Evening,151.7
8.19,30.4,8,Medium,Rainy,City Road,Bike,Wednesday,Night,26.4
3.42,46.1,3,Medium,Clear,Rural Road,Bike,Thursday,Afternoon,4.8
4.7,26.9,6,Medium,Clear,City Road,Bus,Thursday,Evening,21.5
13.99,24.3,12,Medium,Clear,City Road,Bike,Monday,Morning,40.3
7.44,20.3,8,Medium,Clear,City Road,Truck,Monday,Morning,35.0
17.18,75.6,9,Low,Clear,Highway,Bus,Monday,Evening,21.3
11.32,24.4,12,Medium,Clear,City Road,Car,Saturday,Morning,39.9
17.97,31.2,12,Low,Clear,City Road,Bus,Tuesday,Afternoon,47.8
3.61,29.4,7,Medium,Clear,City Road,Truck,Friday,Night,18.6
8.15,44.4,8,Low,Clear,City Road,Car,Wednesday,Afternoon,16.0
6.63,41.4,9,Low,Clear,City Road,Bike,Saturday,Afternoon,14.7
38.52,74.3,14,Low,Rainy,Highway,Car,Monday,Afternoon,40.2
8.94,8.0,9,Medium,Stormy,City Road,Bike,Wednesday,Evening,79.9
4.66,41.3,8,Low,Clear,City Road,Car,Tuesday,Night,11.9
13.84,34.5,3,High,Foggy,Highway,Bike,Thursday,Evening,43.4
6.31,69.0,3,Medium,Clear,Highway,Car,Thursday,Afternoon,7.3
18.99,36.6,14,Low,Clear,City Road,Bike,Tuesday,Afternoon,38.2
20.72,18.6,13,Medium,Rainy,City Road,Car,Friday,Morning,80.3
6.67,25.7,10,Low,Rainy,City Road,Bike,Sunday,Morning,21.4
7.56,19.2,4,High,Foggy,Rural Road,Car,Monday,Afternoon,42.9
13.14,40.3,10,Medium,Clear,City Road,Bike,Monday,Afternoon,31.6
19.29,9.4,11,High,Rainy,City Road,Car,Sunday,Night,141.5
13.98,46.0,10,Low,Clear,City Road,Car,Friday,Night,24.4
8.94,23.4,12,Medium,Clear,City Road,Car,Sunday,Morning,30.3
5.19,28.2,8,Medium,Clear,City Road,Truck,Friday,Afternoon,20.2
27.07,8.0,15,High,Stormy,City Road,Car,Saturday,Morning,225.7
14.17,63.2,4,Medium,Clear,Highway,Bike,Tuesday,Morning,15.5
30.22,44.7,9,Medium,Foggy,Highway,Car,Thursday,Afternoon,55.0
15.28,73.4,5,Low,Rainy,Highway,Bike,Wednesday,Night,16.6
28.06,65.6,12,Low,Rainy,Highway,Car,Saturday,Morning,40.1
7.18,12.9,8,Medium,Rainy,City Road,Car,Monday,Evening,49.6
7.48,32.5,3,Medium,Foggy,Rural Road,Car,Monday,Afternoon,23.5
10.26,65.7,3,Low,Clear,Highway,Car,Thursday,Evening,9.1
6.85,36.9,5,High,Clear,Rural Road,Car,Sunday,Night,25.1
4.24,45.3,2,High,Rainy,Highway,Car,Sunday,Night,22.4
7.93,35.1,8,Low,Clear,City Road,Bike,Friday,Night,15.8
15.16,32.7,11,Medium,Clear,City Road,Truck,Thursday,Afternoon,42.9
5.55,32.6,11,Low,Clear,City Road,Car,Tuesday,Morning,15.9
5.91,28.2,10,Medium,Clear,City Road,Truck,Sunday,Night,20.8
8.22,37.7,11,Low,Clear,City Road,Car,Tuesday,Night,16.4
6.42,30.0,6,Medium,Clear,City Road,Car,Monday,Night,18.2
8.49,24.7,9,Medium,Foggy,City Road,Car,Thursday,Afternoon,34.4
10.69,32.3,5,High,Clear,Rural Road,Car,Wednesday,Afternoon,32.4
5.77,53.8,4,Low,Stormy,Highway,Car,Thursday,Morning,17.9
8.33,41.3,6,High,Stormy,Highway,Bus,Sunday,Afternoon,34.3
11.23,40.1,10,Low,Clear,City Road,Bike,Tuesday,Afternoon,12.9
7.01,74.0,2,Low,Rainy,Highway,Bike,Sunday,Afternoon,10.2
5.19,37.8,3,Medium,Rainy,Rural Road,Car,Tuesday,Night,14.7
7.31,56.9,4,Medium,Rainy,Highway,Car,Wednesday,Evening,15.9
9.23,44.8,5,High,Clear,Highway,Bike,Monday,Morning,20.0
4.12,8.0,8,High,Clear,City Road,Car,Friday,Evening,41.9
15.29,36.5,12,Low,Clear,City Road,Car,Sunday,Evening,27.5
9.51,46.5,4,High,Rainy,Highway,Car,Sunday,Evening,29.5
7.33,31.5,5,Low,Stormy,Rural Road,Car,Tuesday,Night,25.0
4.5,22.9,9,Medium,Rainy,City Road,Bike,Saturday,Night,21.8
14.24,29.8,12,Low,Rainy,City Road,Car,Monday,Afternoon,41.0
20.83,8.0,13,High,Stormy,City Road,Car,Friday,Afternoon,182.7
8.12,25.2,9,Low,Rainy,City Road,Truck,Friday,Morning,33.1
28.77,71.6,12,Low,Clear,Rural Road,Truck,Tuesday,Night,33.8
10.94,56.5,4,Medium,Foggy,Highway,Car,Monday,Night,25.8
11.16,14.7,9,High,Clear,City Road,Car,Monday,Evening,61.7
17.62,15.2,13,High,Clear,City Road,Bus,Friday,Morning,91.4
14.65,24.7,10,Medium,Clear,City Road,Car,Friday,Evening,41.4
5.53,8.0,9,High,Stormy,City Road,Car,Monday,Night,64.4
7.95,47.5,4,High,Clear,Highway,Car,Thursday,Morning,16.2
19.26,37.1,10,Medium,Clear,Rural Road,Car,Saturday,Evening,42.2
14.81,77.7,7,Low,Clear,Highway,Truck,Tuesday,Evening,16.2
28.92,8.0,17,High,Clear,City Road,Bus,Friday,Evening,237.8
13.58,61.2,5,Medium,Clear,Highway,Truck,Wednesday,Evening,19.3
15.08,60.6,7,Medium,Rainy,Highway,Bike,Tuesday,Night,22.3
7.29,11.4,10,Low,Foggy,City Road,Bike,Wednesday,Morning,47.7
20.66,66.3,6,Medium,Clear,Highway,Bus,Wednesday,Evening,33.2
2.85,85.3,5,Low,Clear,Highway,Bike,Thursday,Night,5.0
12.24,26.8,10,High,Clear,Rural Road,Car,Tuesday,Night,39.6
15.33,45.2,13,Low,Clear,City Road,Car,Wednesday,Afternoon,21.0
13.1,24.1,12,Low,Rainy,City Road,Bike,Friday,Night,32.9
10.99,8.0,11,High,Rainy,City Road,Car,Wednesday,Afternoon,98.5
10.32,31.4,9,Low,Rainy,City Road,Car,Friday,Afternoon,25.1
11.24,40.4,10,Low,Clear,City Road,Car,Monday,Night,22.6
6.03,62.4,5,Medium,Rainy,Highway,Bike,Monday,Afternoon,12.6
13.06,14.6,9,High,Clear,City Road,Car,Sunday,Afternoon,65.9
7.34,30.1,7,Low,Clear,City Road,Car,Thursday,Evening,16.0
8.12,28.5,4,Low,Stormy,Rural Road,Car,Friday,Evening,29.7
5.64,53.8,4,High,Rainy,Highway,Car,Saturday,Night,17.4
43.19,8.0,20,High,Foggy,City Road,Truck,Tuesday,Evening,353.8
12.56,61.3,5,Medium,Foggy,Highway,Car,Sunday,Morning,25.8
4.99,20.8,8,Low,Rainy,City Road,Car,Wednesday,Morning,21.1
11.86,29.2,9,Low,Foggy,City Road,Car,Sunday,Night,35.8
20.53,82.9,5,Low,Clear,Highway,Bus,Wednesday,Afternoon,16.6
12.98,30.5,9,Low,Clear,City Road,Bike,Wednesday,Morning,21.4
10.83,28.9,10,Medium,Clear,City Road,Car,Friday,Morning,31.5
7.0,34.7,9,Low,Clear,City Road,Car,Tuesday,Morning,20.0
12.99,36.0,7,Medium,Clear,Rural Road,Bike,Friday,Morning,25.2
16.63,36.9,13,Medium,Clear,City Road,Truck,Sunday,Night,43.5
16.73,48.9,6,Medium,Rainy,Highway,Car,Friday,Evening,25.8
12.33,21.2,9,Low,Rainy,City Road,Car,Monday,Evening,41.2
12.31,41.8,6,High,,Highway,Car,Friday,Morning,34.0
22.37,26.0,14,Medium,Clear,City Road,Car,Monday,Evening,60.6
21.11,23.6,15,Medium,Rainy,City Road,Bike,Monday,Night,61.9
9.99,79.4,5,Low,Clear,Highway,Truck,Tuesday,Night,11.5
27.57,78.7,13,Low,Clear,Highway,Truck,Wednesday,Afternoon,31.0
5.04,12.7,7,High,Clear,City Road,Bus,Monday,Evening,41.2
12.63,31.2,12,Medium,Clear,City Road,Car,Monday,Afternoon,32.7
13.33,35.6,14,Low,Clear,City Road,Truck,Saturday,Night,32.4
6.77,13.4,8,Medium,Foggy,City Road,Car,Thursday,Night,42.4
4.44,61.6,3,Medium,Rainy,Highway,Car,Tuesday,Morning,12.0
6.86,8.0,7,High,Rainy,City Road,Bike,Thursday,Afternoon,64.8
18.45,73.4,9,Low,Clear,Highway,Car,Friday,Morning,18.2
18.74,8.0,14,High,Foggy,City Road,Bus,Saturday,Evening,165.3
16.14,34.7,11,Low,Rainy,City Road,Truck,Wednesday,Afternoon,38.0
7.41,18.2,9,Medium,Clear,City Road,Bus,Tuesday,Evening,35.6
18.87,16.9,13,Medium,Rainy,City Road,Bus,Sunday,Night,79.4
7.71,49.3,9,Low,Clear,City Road,Car,Friday,Night,16.9
13.06,41.8,8,Low,Clear,Rural Road,Car,Sunday,Morning,23.0
11.2,19.2,11,Medium,Clear,City Road,Bus,Wednesday,Morning,45.7
9.02,31.9,5,High,Clear,Rural Road,Bike,Monday,Night,29.7
15.71,20.9,13,Medium,Clear,City Road,Truck,Wednesday,Morning,59.7
17.42,17.9,14,High,Clear,City Road,Car,Wednesday,Afternoon,71.6
7.16,8.0,8,High,Clear,City Road,Car,Saturday,Night,69.6
11.57,10.9,10,Medium,Stormy,City Road,Car,Saturday,Afternoon,84.3
16.93,50.4,4,High,Clear,Highway,Bike,Monday,Morning,26.6
2.2,58.4,4,Low,Clear,Rural Road,Bus,Friday,Night,8.4
14.01,69.1,8,Low,Clear,Highway,Truck,Wednesday,Evening,18.3
17.13,37.9,7,High,Foggy,Highway,Car,Friday,Afternoon,39.9
14.36,8.0,11,High,Rainy,City Road,Car,Wednesday,Evening,127.0
14.73,13.4,11,Low,Foggy,City Road,Car,Thursday,Evening,79.6
10.76,68.4,4,Medium,Clear,Highway,Car,Saturday,Evening,15.8
16.49,30.8,12,Medium,Clear,City Road,Car,Wednesday,Night,40.6
5.44,8.0,7,High,Rainy,City Road,Bike,Tuesday,Night,56.4
6.88,39.7,4,Medium,Clear,Rural Road,Car,Friday,Afternoon,12.3
14.59,29.8,6,Medium,Foggy,Rural Road,Car,Sunday,Night,46.2
16.52,50.2,8,Medium,Foggy,Highway,Bike,Thursday,Night,28.6
20.6,24.5,14,Medium,Clear,City Road,Bus,Sunday,Morning,64.9
25.36,23.0,10,Medium,Stormy,Rural Road,Car,Tuesday,Afternoon,82.9
7.47,8.0,9,High,Rainy,City Road,Car,Saturday,Evening,72.2
5.97,32.7,8,Medium,Clear,City Road,Bike,Sunday,Night,15.0
18.22,36.8,14,Low,Clear,City Road,Bus,Wednesday,Evening,39.1
8.8,48.3,4,Low,Clear,Rural Road,Bus,Tuesday,Evening,18.6
11.0,38.6,7,Medium,Foggy,Rural Road,Car,Friday,Afternoon,27.5
17.23,53.9,6,High,Clear,Highway,Bike,Sunday,Morning,30.0
12.62,41.3,12,Low,Clear,City Road,Truck,Monday,Night,25.4
16.21,25.6,13,Low,Rainy,City Road,Car,Friday,Evening,49.5
7.07,27.2,10,Medium,Clear,City Road,Car,Sunday,Afternoon,23.8
13.42,50.1,9,Low,Clear,Rural Road,Truck,Monday,Night,23.8
13.27,8.0,11,High,Rainy,City Road,Car,Thursday,Morning,116.2
20.41,43.0,15,Low,Clear,City Road,Bike,Monday,Afternoon,35.9
22.87,83.4,11,Low,Clear,Highway,Bus,Tuesday,Night,25.3
8.69,12.0,7,High,Clear,City Road,Car,Thursday,Afternoon,55.7
6.37,63.1,3,Low,Clear,Rural Road,Bike,Wednesday,Night,5.0
16.73,38.9,10,Low,Clear,City Road,Car,Monday,Night,35.5
4.21,35.0,5,Low,Rainy,Rural Road,Bus,Saturday,Morning,15.2
17.37,19.1,10,Low,Stormy,City Road,Truck,Tuesday,Afternoon,67.8
18.1,47.9,10,Low,Clear,City Road,Bus,Sunday,Night,31.3
8.31,16.4,7,Low,Stormy,City Road,Car,Tuesday,Afternoon,39.3
2.45,20.2,4,Low,Rainy,City Road,Bus,Thursday,Morning,16.7
19.14,78.5,8,Low,Rainy,Highway,Truck,Saturday,Morning,21.8
23.74,18.7,13,Medium,Rainy,City Road,Bike,Thursday,Morning,86.5
22.87,10.3,11,Medium,Rainy,City Road,Bike,Wednesday,Morning,141.2
23.27,52.6,9,Medium,Foggy,Highway,Car,Saturday,Afternoon,40.7
5.21,31.6,8,Low,Clear,City Road,Bus,Monday,Afternoon,18.9
11.76,70.5,2,Medium,Clear,Highway,Car,Saturday,Night,16.3
13.22,50.6,5,High,Clear,Highway,Car,Friday,Evening,27.2
12.15,14.6,10,High,Clear,City Road,Truck,Saturday,Morning,69.2
16.3,54.5,6,Low,Rainy,Highway,Truck,Wednesday,Morning,27.4
6.14,25.4,8,Low,Clear,City Road,Truck,Wednesday,Morning,26.4
4.14,39.4,9,Low,Clear,City Road,Car,Friday,Afternoon,11.4
3.42,45.9,10,Low,Clear,City Road,Car,Friday,Evening,5.7
19.36,41.4,8,Medium,Clear,Rural Road,Car,Sunday,Morning,37.0
5.17,63.9,1,Medium,Rainy,Highway,Car,Sunday,Afternoon,12.3
12.11,65.9,5,Low,Rainy,Highway,Bus,Monday,Afternoon,21.9
8.09,26.4,5,Medium,Clear,Rural Road,Bike,Tuesday,Morning,22.0
8.3,22.2,9,Medium,Clear,City Road,Car,Sunday,Morning,30.2
10.17,46.5,6,Low,Clear,Rural Road,Car,Wednesday,Morning,11.4
8.51,45.7,7,High,Clear,Highway,Car,Friday,Morning,22.3
4.14,45.1,1,Low,Rainy,Rural Road,Bus,Monday,Night,16.6
10.18,18.3,5,High,Rainy,Rural Road,Bike,Monday,Night,47.2
7.16,42.1,7,Low,Clear,Rural Road,Car,Wednesday,Evening,10.8
6.96,21.9,8,High,Clear,City Road,Car,Saturday,Night,24.6
27.42,32.6,12,High,Stormy,Highway,Car,Saturday,Night,78.4
4.71,20.6,5,High,Rainy,Rural Road,Car,Sunday,Night,28.6
9.91,46.8,6,High,Clear,Highway,Truck,Tuesday,Morning,32.5
12.69,18.5,13,High,Clear,City Road,Bike,Tuesday,Night,55.3
27.43,40.7,12,Medium,Clear,Rural Road,Car,Thursday,Afternoon,46.5
5.77,8.0,5,High,Stormy,City Road,Bus,Thursday,Evening,62.9
22.23,37.1,13,Low,Clear,City Road,Car,Monday,Night,39.8
10.14,69.2,8,Medium,Clear,Highway,Car,Thursday,Afternoon,15.7
10.35,20.2,8,Medium,Stormy,City Road,Bike,Sunday,Afternoon,46.1
15.79,34.2,7,High,Rainy,Highway,Car,Tuesday,Morning,40.6
24.12,25.6,11,Medium,Clear,City Road,Car,Saturday,Morning,64.3
8.47,67.0,2,Medium,Clear,Highway,Bus,Thursday,Morning,17.0
13.21,46.5,8,Medium,Clear,Rural Road,Truck,Thursday,Afternoon,30.3
12.23,31.4,10,Low,Rainy,City Road,Car,Friday,Night,30.8
11.91,90.6,5,Low,Clear,Highway,Bike,Friday,Afternoon,9.4
17.27,8.0,11,Medium,Stormy,City Road,Car,Friday,Evening,148.7
7.45,20.0,2,Medium,Stormy,Rural Road,Bike,Monday,Morning,36.1
9.14,45.3,6,Low,Clear,Rural Road,Car,Wednesday,Evening,12.5
4.21,22.8,7,Medium,Rainy,City Road,Bike,Saturday,Night,11.0
15.11,74.8,4,Medium,Clear,Highway,Car,Monday,Afternoon,16.7
11.61,78.6,5,Low,Clear,Highway,Truck,Saturday,Afternoon,14.2
23.79,51.5,10,Medium,Rainy,Highway,Bus,Thursday,Night,40.8
5.7,64.6,3,Medium,Clear,Highway,Car,Monday,Evening,5.9
29.31,34.6,16,Low,Clear,City Road,Bus,Monday,Afternoon,61.8
16.5,50.7,7,High,Clear,Highway,Car,Sunday,Morning,32.0
2.48,15.0,6,High,Clear,City Road,Bike,Monday,Night,19.7
16.11,26.7,12,Medium,Clear,City Road,Car,Monday,Evening,38.1
7.98,34.3,6,Low,Rainy,Rural Road,Car,Monday,Morning,16.5
9.66,8.0,11,Medium,Foggy,City Road,Bike,Friday,Evening,88.0
8.77,45.3,5,High,Rainy,Highway,Car,Sunday,Night,27.1
21.49,10.6,13,Medium,Foggy,City Road,Bike,Tuesday,Night,134.9
3.84,27.6,4,High,Clear,Rural Road,Bike,Saturday,Morning,13.8
10.46,49.9,5,Medium,Foggy,Highway,Car,Saturday,Afternoon,23.3
10.96,35.5,9,Medium,Clear,City Road,Car,Tuesday,Night,25.9
8.6,42.1,8,Low,Clear,City Road,Bike,Monday,Night,12.8
6.53,8.0,9,Medium,Stormy,City Road,Bike,Thursday,Evening,59.5
2.75,56.7,5,Low,Clear,Rural Road,Car,Monday,Afternoon,3.0
10.56,71.6,2,Medium,Clear,Highway,Car,Monday,Night,17.7
15.09,8.0,14,High,Clear,City Road,Bike,Thursday,Evening,124.4
11.62,73.5,7,Low,Clear,Highway,Bike,Saturday,Evening,13.1
6.54,33.7,9,Medium,Clear,City Road,Bus,Sunday,Night,23.6
11.02,35.3,9,Low,Clear,City Road,Car,Friday,Afternoon,21.3
23.95,11.7,15,Medium,Foggy,City Road,Bike,Tuesday,Evening,137.2
7.64,18.9,8,Low,Clear,City Road,Bike,Wednesday,Morning,30.3
12.56,37.4,5,High,Clear,Highway,Car,Friday,Evening,32.0
13.54,49.8,5,Low,Clear,Rural Road,Car,Tuesday,Evening,16.5
4.92,15.9,1,High,Foggy,Rural Road,Car,Thursday,Night,33.1
9.41,25.7,9,High,Clear,Rural Road,Bus,Saturday,Afternoon,42.5
9.47,29.7,9,Medium,Clear,City Road,Car,Saturday,Night,20.3
11.36,8.0,10,High,Clear,City Road,Bike,Monday,Evening,96.6
21.1,34.1,8,High,Rainy,Highway,Bike,Wednesday,Morning,53.6
5.58,8.0,3,High,Rainy,Rural Road,Car,Tuesday,Morning,54.4
21.81,54.2,8,Low,Rainy,Highway,Bus,Thursday,Morning,36.8
15.71,25.7,12,Medium,Rainy,City Road,Bike,Tuesday,Afternoon,49.1
29.75,69.9,11,Low,Clear,Highway,Car,Sunday,Evening,25.8
3.22,74.8,1,Medium,Clear,Highway,Bus,Sunday,Night,13.1
2.34,52.8,4,Low,Clear,Rural Road,Bike,Wednesday,Night,3.0
38.63,63.8,15,Medium,Clear,Highway,Car,Wednesday,Evening,44.0
4.79,29.4,8,Medium,Clear,City Road,Bike,Thursday,Afternoon,13.5
6.81,22.2,9,Medium,Clear,City Road,Bike,Monday,Evening,24.8
6.85,30.5,8,Medium,Clear,City Road,Car,Sunday,Afternoon,25.2
15.31,8.0,11,High,Rainy,City Road,Truck,Saturday,Morning,137.1
9.87,15.9,8,High,Clear,Rural Road,Bike,Wednesday,Evening,49.0
